datetime,196 Albany,4101 White Plains Road,57 Cleveland Place,Bathgate Contract Post...,Bay Ridge 5th Avenue,Beach 39th,Bellevue Hospital Center,Belvis Diagnostic & Tr...,Bensonhurst 14th Avenue,Brooklyn Army Terminal,Canarsie Municipal Lot,CI Ida G Israel Chc,Co-op City Retail Space,Coney Island Hospital ...,CU Jonathan Williams C...,CU Vanderbilt,CU Woodside Houses CHC,Cumberland Dtc,Edward Grant,Elmhurst Hospital Center,EY East New York DTC,Fort Hamilton,Gouverneur Healthcare,Greenbelt Recreational...,Harlem Hospital Center,Highbridge Pool,Jacobi Medical Center,JFK Airport,Kew Gardens,Kings County Hospital ...,LaGuardia Airport,Leﬀerts,Lincoln Medical Center,Mariners Harbor Library,Metropolitan Hospital ...,Midwood,Morrisania Diagnostic ...,Mt. Loretto,North Central Bronx Ho...,Northern Boulevard,Old Broadway,Queens Hospital Center,Rain Boston Road Senio...,Red Hook Recreational ...,Sorrentino Recreationa...,St. Albans,St. George Ferry Termi...,St. James Recreational...,Starret City,SY Dyckman Lcdla,SY St. Nicholas Chc,Sydenham,Sydenham Health Center,Tremont Community Heal...,Windsor Park Library,Woodhull Medical Center
1606772000.20831,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772017.05037,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772179.6377,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772219.47975,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772261.51278,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772300.45217,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772428.97205,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772478.80649,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606772723.65619,0,0,nan,nan,nan,60,nan,nan,30,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,30,nan,30,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,30,nan,nan,nan,nan,nan,60,nan,0,nan,nan,90,60,nan,nan,nan,nan,nan,nan,30,nan
1606773152.10183,0,nan,30,nan,nan,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30,nan,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,90,nan,nan,nan,30,120,nan,nan,nan,nan,nan,nan,nan,60,nan
